date,window,score,regime
1976-01-23,rolling20y,46.76,cool
1976-01-26,full,55.09,cool
1976-01-26,rolling20y,46.76,cool
1976-01-27,full,55.09,cool
1976-01-27,rolling20y,46.76,cool
1976-01-28,full,55.09,cool
1976-01-28,rolling20y,46.76,cool
1976-01-29,full,55.09,cool
1976-01-29,rolling20y,46.76,cool
1976-01-30,full,55.09,cool
1976-01-30,rolling20y,46.76,cool
1976-02-02,full,56.06,cool
1976-02-02,rolling20y,47.02,cool
1976-02-03,full,56.06,cool
1976-02-03,rolling20y,47.02,cool
1976-02-04,full,56.06,cool
1976-02-04,rolling20y,47.02,cool
1976-02-05,full,56.06,cool
1976-02-05,rolling20y,47.02,cool
1976-02-06,full,56.06,cool
1976-02-06,rolling20y,47.02,cool
1976-02-09,full,56.06,cool
1976-02-09,rolling20y,47.02,cool
1976-02-10,full,56.06,cool
1976-02-10,rolling20y,47.02,cool
1976-02-11,full,56.06,cool
1976-02-11,rolling20y,47.02,cool
1976-02-12,full,56.06,cool
1976-02-12,rolling20y,47.02,cool
1976-02-13,full,56.06,cool
1976-02-13,rolling20y,47.02,cool
1976-02-16,full,56.06,cool
1976-02-16,rolling20y,47.02,cool
1976-02-17,full,56.06,cool
1976-02-17,rolling20y,47.02,cool
1976-02-18,full,56.06,cool
1976-02-18,rolling20y,47.02,cool
1976-02-19,full,56.06,cool
1976-02-19,rolling20y,47.02,cool
1976-02-20,full,56.06,cool
1976-02-20,rolling20y,47.02,cool
1976-02-23,full,56.06,cool
1976-02-23,rolling20y,47.02,cool
1976-02-24,full,56.06,cool
1976-02-24,rolling20y,47.02,cool
1976-02-25,full,56.06,cool
1976-02-25,rolling20y,47.02,cool
1976-02-26,full,56.06,cool
1976-02-26,rolling20y,47.02,cool
1976-02-27,full,56.06,cool
1976-02-27,rolling20y,47.02,cool
1976-03-01,full,56.17,cool
1976-03-01,rolling20y,47.16,cool
1976-03-02,full,56.17,cool
1976-03-02,rolling20y,47.16,cool
1976-03-03,full,56.17,cool
1976-03-03,rolling20y,47.16,cool
